FILENAME,ModalName,Name_Agreement_Total,Name_Agreement_Responders,DKO,DKN,Category,Familiarity_Mean,Visual_Complexity_Mean,Objective_Agreement_Mean,Viewpoint_Mean,Manipulability_Mean,H-value
bicycle,Bike,0.428571429,0.428571429,0,0,Outdoor activity & sport item,4.833333333,2.87804878,,,4.176470588,1.741996151
bikehelmet,helmet,0.487179487,0.5,0,0.03,Outdoor activity & sport item,4.128205128,2.974358974,4.424242424,4.3125,2.848484848,1.886607178
bikelock,bike lock,0.476190476,0.571428571,0,0.05,Outdoor activity & sport item,4.523809524,2.071428571,,,2.852941176,1.838041606
bikepump01,Air pump,0.357142857,0.365853659,0,0.02,Outdoor activity & sport item,4.523809524,1.880952381,,,3.647058824,2.337487617
bikerack,Bike rack,0.119047619,0.192307692,0.12,0.19,Building infrastructure,3.857142857,2.095238095,,,2.25,4.023145854
bikewheel,Bike wheel,0.261904762,0.261904762,0,0,Outdoor activity & sport item,4.666666667,2.261904762,,,2.823529412,2.627985276
binder03b,binder,0.666666667,0.684210526,0,0,Stationary & school supply,4.384615385,1.974358974,4,3.34375,2.21875,1.462061273
binoculars01b,binoculars,0.871794872,0.971428571,0,0.05,Outdoor activity & sport item,4.025641026,3.461538462,4.757575758,4.181818182,4.363636364,0.187176257
birdfeeder,Bird feeder,0.761904762,0.820512821,0.05,0.02,Food,4.071428571,2.69047619,3.71875,3.5625,1.939393939,1.080274014
birdhouse,Bird House,0.904761905,0.926829268,0,0,Building infrastructure,4.285714286,2.428571429,3.40625,3.28125,1.823529412,0.444838699
birdie,birdie,0.315789474,0.375,0.05,0.11,Outdoor activity & sport item,3.864864865,2.783783784,4.59375,3.84375,2.666666667,5.163495126
birdnest,Birds nest,0.714285714,0.714285714,0,0,Natural element,4.380952381,2.833333333,4.3125,3.625,1.852941176,1.04884126
birdseed,Bird food,0.119047619,0.192307692,0.31,0.05,Food,2.825,3.097560976,,,1.5,3.422775066
birthdaycandle,candle,0.523809524,0.523809524,0,0,Decoration & gift accessory,4.69047619,1.833333333,2.903225806,2.71875,3.352941176,0.998363673
bison,buffalo,0.547619048,0.638888889,0,0.12,Mammal,3.952380952,3.166666667,4.28125,3.875,1.617647059,1.557649307
blackbear,Bear,0.5,0.5,0,0,Mammal,4.333333333,3.071428571,,,2.088235294,1.361428949
blackberry,blackberry,0.58974359,0.696969697,0.03,0.08,Food,4.236842105,2.684210526,3.666666667,3.96969697,1.181818182,1.565702832
blackolive,Olives,0.571428571,0.6,0.02,0,Food,4.476190476,2.047619048,3.0625,3.5,1.470588235,1.738845282
bleachbottle,bottle,0.282051282,0.297297297,0.03,0.03,Household article & cleaner,3.891891892,1.868421053,4.517241379,4.428571429,1.433333333,3.741388222
bleachers,bleachers,0.619047619,0.702702703,0,0.02,Building infrastructure,4.428571429,2.166666667,3.875,3.40625,2.235294118,1.723877145
blender,Blender,0.928571429,0.928571429,0,0,Kitchen & utensil,4.523809524,2.285714286,3.53125,4.125,2.794117647,0.484443934
blueberry01,blueberry,0.846153846,0.942857143,0.05,0.03,Food,4.368421053,2.052631579,4.666666667,4.696969697,1.59375,0.37313999
bluecheese,blue cheese,0.523809524,0.536585366,0,0.02,Food,4.023809524,2.404761905,3.90625,3.3125,1.90625,1.403710648
bluejay,blue jay,0.738095238,0.775,0,0.02,Bird,4.166666667,3.380952381,4.5,4.3125,1.5,0.991138843
boat,boat,0.666666667,0.736842105,0.02,0.02,Vehicle,3.952380952,2.571428571,2.875,3.096774194,2.205882353,1.347517558
boatmotor,Boat motor,0.214285714,0.36,0.33,0.05,Outdoor activity & sport item,3,2.925,,,2.424242424,2.912487689
bolt01a,Bolt,0.5,0.567567568,0,0.02,Building material,4.380952381,2.047619048,,,2.617647059,1.287851481
boltandnut02,screw,0.324324324,0.363636364,0.03,0.05,Building material,3.459459459,2.722222222,3.9375,3.03125,2.21875,2.338811922
boltcutter,Bolt cutter,0.261904762,0.333333333,0,0.12,Hand labour tool & accessory,3.853658537,2.243902439,,,3.088235294,2.472192022
boogieboard,Boogie board,0.214285714,0.428571429,0.21,0.17,Outdoor activity & sport item,3.024390244,2.619047619,,,2.321428571,2.290461923
book01b,book,0.897435897,0.897435897,0,0,Stationary & school supply,4.538461538,2.205128205,4.181818182,2.848484848,3.878787879,0.682199511
bookshelf,Bookshelf,0.571428571,0.571428571,0,0,Furniture,4.738095238,1.595238095,3.875,4.0625,2.647058824,1.634852244
boosterseat,baby seat,0.282051282,0.314285714,0.03,0.05,Furniture,3.297297297,2.351351351,3.03125,3.65625,2.25,3.370325222
boot02b,boot,0.820512821,0.820512821,0,0,Clothing,4.447368421,2.289473684,3.848484848,3.8125,2.8125,1.080274014
bottlecap,bottle cap,0.789473684,0.857142857,0,0.05,Kitchen & utensil,4.105263158,2.131578947,4.333333333,3.303030303,2.575757576,0.923376792
bottleofredwine01,wine bottle,0.684210526,0.684210526,0,0,Food,4.435897436,2.282051282,4.484848485,4.454545455,2.939393939,1.105013997
bottleofwhitewine,Wine bottle,0.357142857,0.357142857,0,0,Food,4.571428571,1.928571429,,,3.235294118,2.155968102
bottleopener01,bottle opener,0.615384615,0.685714286,0.03,0.08,Kitchen & utensil,3.970588235,2.342857143,2.787878788,2.818181818,3.212121212,1.366694889
bow,Bow,0.928571429,0.951219512,0.02,0,War related weapon & item,4.195121951,1.756097561,3.59375,3.09375,4.294117647,0.329974284
bowl01,bowl,0.666666667,0.666666667,0,0,Kitchen & utensil,4.41025641,2.102564103,3.818181818,4.090909091,1.787878788,1.597682395
bowl02a,bowl,0.846153846,0.846153846,0,0,Kitchen & utensil,4.051282051,2.307692308,3.454545455,3.84375,2.0625,0.965786682
bowlingball,bowling ball,0.976190476,1,0.02,0,Outdoor activity & sport item,4.428571429,1.952380952,3.483870968,3.806451613,4.0625,0
bowlingpin,bowling pin,0.976190476,1,0,0.02,Gamestoy & entertainment,4.463414634,1.609756098,4.1875,4.15625,3.5,0
bowlofcereal,Cereal,0.404761905,0.435897436,0,0.07,Food,4.476190476,2.404761905,,,2.088235294,1.89310447
bowlofchips,bowl of chips,0.404761905,0.404761905,0,0,Food,4.80952381,2.214285714,,,2.411764706,2.260300168
bowrake,rake,0.756097561,0.861111111,0,0.05,Hand labour tool & accessory,4.475,1.75,3.46875,3.75,3.794117647,0.771731304
bowtie,Bowtie,0.880952381,0.880952381,0,0,Clothing,4.547619048,2.071428571,3.90625,3.59375,3.5,0.612560886
box01a,box,0.487179487,0.487179487,0,0,Decoration & gift accessory,3.743589744,2.487179487,2.878787879,3.393939394,2.666666667,2.037074239
boxcutter03a,exacto knife,0.342105263,0.40625,0,0.13,Hand labour tool & accessory,4.243243243,2.945945946,4.034482759,3.724137931,2.75862069,4.47060973
boxingglove01,boxing glove,0.761904762,0.761904762,0,0,Outdoor activity & sport item,4.238095238,2.214285714,3.53125,3.6875,3.735294118,1.114901126
boxtrailer,Trailer,0.523809524,0.733333333,0,0.21,Vehicle,4.073170732,2.292682927,2.666666667,3.666666667,1.823529412,1.569974075
boxtruck,truck,0.761904762,0.761904762,0,0,Vehicle,4.571428571,2.595238095,3.65625,3.1875,2.470588235,1.469582006
